"sku";"old_oryginal_price";"oryginal_url"
"HGS402149";"60.3700";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-120-liter-gelb-17-my-typ-20"
"HGS14197-pap";"40.9400";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/starpak-muellsaecke-mit-zugband-hdpe-60-l-71-cm-x-64-5-cm-gelb"
"HGS14189-pap";"65.5700";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/papstar-abfallsaecke-aus-papier-pure-240-l-115-cm-x-80-cm-x-30-cm-braun-2-lagig"
"HGS401515";"47.7400";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellbeutel-70-liter-transparent-33-my-typ-60"
"HGS10051-pap";"69.4500";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/starpak-muellsaecke-ldpe-120-l-110-cm-x-70-cm-gelb"
"HGS12328-pap";"51.1700";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/starpak-muellsaecke-ldpe-150-l-150-cm-x-70-cm-schwarz-extra-stark-und-extra-reissfest"
"HGS400330";"41.8600";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-supertec-120-liter-blau-25-my-typ-60"
"HGS400172";"79.1100";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-70-liter-blau-78-my-typ-100"
"HGS11037-pap";"79.5400";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/starpak-auskleidesaecke-fuer-muelltonnen-240-l-135-cm-x-120-cm-schwarz"
"HGS97001-pap";"113.1900";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/papstar-biomat-kompostbeutel-auf-staerkebasis-20-l-56-cm-x-44-cm-mit-tragegriff"
"HGS97003-pap";"177.5500";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/papstar-biomat-kompostbeutel-auf-staerkebasis-120-l-130-cm-x-88-cm-ohne-tragegriff"
"HGS12433-pap";"57.6900";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/starpak-muellsaecke-mit-zugband-hdpe-120-l-100-cm-x-70-cm-blau"
"HGSPSE-110-03";"91.2500";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/biomat-bio-abfallsack-aus-kraftpapier-110-liter-2-lagig"
"HGS400340";"80.5600";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-120-liter-blau-61-my-typ-80"
"HGS12378-pap";"55.0300";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/starpak-muellsaecke-hdpe-120-l-110-cm-x-70-cm-blau-mit-biologisch-verrottbaren-zusaetzen"
"HGS14182-pap";"59.0600";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/papstar-abfallsaecke-aus-papier-pure-120-l-95-cm-x-70-cm-x-25-cm-braun-2-lagig"
"HGS400346";"57.7000";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-120-liter-blau-38-my-typ-60"
"HGS12128-pap";"59.0200";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/starpak-muellsaecke-ldpe-120-l-110-cm-x-70-cm-transparent"
"HGS14195-pap";"46.8300";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/starpak-muellsaecke-mit-zugband-ldpe-120-l-100-cm-x-70-cm-blau"
"HGS89224-pap";"86.4800";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/papstar-kompostsaecke-aus-papier-pure-60-l-85-cm-x-55-cm-x-23-cm-braun-2-lagig"
"HGS40003";"95.0600";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-universal-plus-abfallsaecke-120-liter-blau-18-my"
"HGS97002-pap";"133.2800";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/papstar-biomat-kompostbeutel-auf-staerkebasis-30-l-60-cm-x-53-cm-ohne-tragegriff"
"HGS90032-pap";"64.5000";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/papstar-t-g-ps-muellsaecke-ldpe-120-l-110-cm-x-70-cm-blau"
"HGS97000-pap";"127.0000";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/papstar-biomat-kompostbeutel-auf-staerkebasis-10-l-50-cm-x-42-cm-mit-tragegriff"
"HGS12126-pap";"44.5900";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/starpak-muellsaecke-ldpe-240-l-125-cm-x-100-cm-schwarz"
"HGS19533-pap";"82.5900";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/starpak-muellsaecke-hdpe-120-l-110-cm-x-70-cm-gelb"
"HGS19531-pap";"82.5900";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/starpak-muellsaecke-hdpe-120-l-110-cm-x-70-cm-transparent"
"HGS19544-pap";"67.1200";"https://www.hygiene-shop.com/muellsaecke-ab-60-liter/starpak-muellsaecke-hdpe-70-l-100-cm-x-57-5-cm-transparent"
"HGS91160";"42.2700";"https://www.hygiene-shop.com/muellbeutel-bis-60-liter/muellbeutel-25-liter-mit-griff-weiss-14my"
"HGS22716";"51.3000";"https://www.hygiene-shop.com/muellbeutel-bis-60-liter/muellbeutel-30-liter-weiss-15my"
