sku,old_oryginal_price,oryginal_url,new_oryginal_price
HGS410014,37.18,https://www.hygiene-shop.com/muellbeutel-bis-60-liter/wbv-ulith-muellbeutel-25-liter-transparent-5-5-my,40.01
HGS12077-pap,37.13,https://www.hygiene-shop.com/muellbeutel-bis-60-liter/starpak-muellbeutel-mit-tragegriffen-hdpe-35-l-64-cm-x-54-cm-transparent,39.96
HGS410320,30.61,https://www.hygiene-shop.com/muellbeutel-bis-60-liter/wbv-muellbeutel-15-liter-grau-5-5-my,32.94
HGS410361,39.03,https://www.hygiene-shop.com/muellbeutel-bis-60-liter/wbv-muelleimerbeutel-30-liter-10-my,42.00
HGSBBH-20-26,143.28,https://www.hygiene-shop.com/muellbeutel-bis-60-liter/biomat-bioabfallbeutel-20-liter-19-my,154.18
HGS10050-pap,46.03,https://www.hygiene-shop.com/muellbeutel-bis-60-liter/starpak-muellbeutel-hdpe-25-l-52-cm-x-50-cm-transparent,49.54
HGS12104-pap,43.79,https://www.hygiene-shop.com/muellbeutel-bis-60-liter/starpak-muellbeutel-ldpe-60-l-72-cm-x-60-cm-weiss,47.12
HGS12461-pap,54.62,https://www.hygiene-shop.com/muellbeutel-bis-60-liter/starpak-muellbeutel-hdpe-35-l-69-cm-x-55-cm-schwarz,54.68
HGS12075-pap,35.46,https://www.hygiene-shop.com/muellbeutel-bis-60-liter/starpak-muellbeutel-mit-tragegriffen-hdpe-20-l-48-cm-x-47-cm-transparent,38.15
HGS12460-pap,56.98,https://www.hygiene-shop.com/muellbeutel-bis-60-liter/starpak-muellbeutel-hdpe-35-l-69-cm-x-55-cm-transparent,57.05
HGS204020,108.89,https://www.hygiene-shop.com/muellbeutel-bis-60-liter/tork-204020-b2-abfallsaecke-20-liter-weiss-15-my,117.17
HGSPSH-8-NF,88.3,https://www.hygiene-shop.com/muellbeutel-bis-60-liter/biomat-bio-abfallbeutel-aus-kraftpapier-8-liter-einlagig-mit-henkel,95.02
HGS12436-pap,62.53,https://www.hygiene-shop.com/muellbeutel-bis-60-liter/starpak-muellbeutel-mit-zugband-hdpe-30-l-62-cm-x-55-cm-gruen,67.29
HGS12065-pap,42.6,https://www.hygiene-shop.com/muellbeutel-bis-60-liter/starpak-muellbeutel-ldpe-30-l-60-cm-x-50-cm-grau,45.42
HGS14199-pap,41.04,https://www.hygiene-shop.com/muellbeutel-bis-60-liter/starpak-muellbeutel-mit-zugband-ldpe-30-l-62-cm-x-53-cm-weiss,41.71
HGS12089-pap,40.19,https://www.hygiene-shop.com/muellbeutel-bis-60-liter/starpak-muellbeutel-hdpe-18-l-52-cm-x-46-cm-weiss,43.85
HGSPS-7-NF,78.46,https://www.hygiene-shop.com/muellbeutel-bis-60-liter/biomat-bio-abfallbeutel-aus-kraftpapier-7-liter-einlagig,84.43
HGS12439-pap,56.94,https://www.hygiene-shop.com/muellbeutel-bis-60-liter/starpak-muellbeutel-mit-zugband-hdpe-20-l-55-cm-x-48-cm-transparent,61.26
HGS12333-pap,41.65,https://www.hygiene-shop.com/muellbeutel-bis-60-liter/starpak-muellbeutel-hdpe-60-l-72-cm-x-60-cm-weiss,44.82
HGS402933,44.59,https://www.hygiene-shop.com/muellbeutel-bis-60-liter/wbv-muellbeutel-30-liter-blau-14-my,47.98
HGS12417-pap,50.58,https://www.hygiene-shop.com/muellbeutel-bis-60-liter/papstar-muellbeutel-mit-zugband-hdpe-30-l-70-cm-x-55-cm-rot,54.43
HGS12459-pap,49.5,https://www.hygiene-shop.com/muellbeutel-bis-60-liter/starpak-muellbeutel-mit-tragegriffen-hdpe-10-l-42-cm-x-39-5-cm-transparent,53.26
HGS410080,55.48,https://www.hygiene-shop.com/muellbeutel-bis-60-liter/wbv-ulith-muelleimerbeutel-zugbandbeutel-30-liter-weiss-10-5-my,59.70
HGS12095-pap,41.06,https://www.hygiene-shop.com/muellbeutel-bis-60-liter/starpak-muellbeutel-hdpe-30-l-60-cm-x-50-cm-farbig-sortiert,44.18
HGS12066-pap,43.51,https://www.hygiene-shop.com/muellbeutel-bis-60-liter/starpak-muellbeutel-ldpe-18-l-52-cm-x-46-cm-weiss,46.81
HGS14185-pap,90.92,https://www.hygiene-shop.com/muellbeutel-bis-60-liter/papstar-kompostbeutel-aus-papier-mit-henkel-10-l-28-cm-x-22-cm-x-14-cm-braun-bedruckt,97.83
