sku;ean;old_oryginal_price;oryginal_url;new_sku;new_oryginal_url;new_ean;new_oryginal_price
HGS12134-pap;4002911221341;52.9100;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/starpak-muellsaecke-ldpe-120-l-110-cm-x-70-cm-schwarz-extra-stark-und-extra-reissfest;HGS12134-pap;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/starpak-muellsaecke-ldpe-120-l-110-cm-x-70-cm-schwarz-extra-stark-und-extra-reissfest;4002911221341;52.91
HGS410081;4025648100819;78.7700;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-ulith-muelleimerbeutel-mit-zugband-60-liter-gruen-10-5-my;HGS410081;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-ulith-muelleimerbeutel-mit-zugband-60-liter-gruen-10-5-my;4025648100819;78.77
HGS10306;4001553103060;90.6500;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-premium-abfallsaecke-120-liter-blau-44-my;HGS10306;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-premium-abfallsaecke-120-liter-blau-44-my;4001553103060;90.65
HGS410231;4025648102318;30.7100;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellbeutel-60-70-liter-weiss-8-my;HGS410231;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellbeutel-60-70-liter-weiss-8-my;4025648102318;30.71
HGS401425;4025648014253;59.1700;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-120-liter-schwarz-38-my-typ-60;HGS401425;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-120-liter-schwarz-38-my-typ-60;4025648014253;59.17
HGS93008;4001553930086;175.4800;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-pe-ld-abfallsaecke-infektionswaesche-85-liter-gelb-85-my;HGS93008;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-pe-ld-abfallsaecke-infektionswaesche-85-liter-gelb-85-my;4001553930086;175.48
HGS402215;4025648022159;50.6200;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-70-liter-transparent-17-my-typ-20;HGS402215;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-70-liter-transparent-17-my-typ-20;4025648022159;50.62
HGS90059;4001553900591;109.1700;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-premium-abfallsaecke-140-liter-blau-38-my;HGS90059;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-premium-abfallsaecke-140-liter-blau-38-my;4001553900591;109.17
HGS410015;4025648100154;52.7100;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-ulith-muelleimerbeutel-60-liter-transparent-7-my;HGS410015;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-ulith-muelleimerbeutel-60-liter-transparent-7-my;4025648100154;52.71
HGS401523;4025648015236;69.3400;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-70-liter-61-my-typ-80-schwarz;HGS401523;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-70-liter-61-my-typ-80-schwarz;4025648015236;69.34
