id;sku;oryginal_url;new_sku;new_ean;new_oryginal_price;new_oryginal_url
64;HGS31021826;https://www.hygiene-shop.com/abfalleimer-muelleimer/vepa-bins-abfallbehaelter-mit-pushdeckel-18-liter-weiss;HGS31021826;8713631021826;166.43;https://www.hygiene-shop.com/abfalleimer-muelleimer/vepa-bins-abfallbehaelter-mit-pushdeckel-18-liter-weiss
65;HGS31021802;https://www.hygiene-shop.com/abfalleimer-muelleimer/vepa-bins-abfallbehaelter-mit-pushdeckel-18-liter-edelstahl-matt-gebuerstet;HGS31021802;8713631021802;216.33;https://www.hygiene-shop.com/abfalleimer-muelleimer/vepa-bins-abfallbehaelter-mit-pushdeckel-18-liter-edelstahl-matt-gebuerstet
67;HGS31022199;https://www.hygiene-shop.com/abfalleimer-muelleimer/eko-pushcan-abfallbehaelter-40-liter-edelstahl-hochglanz-poliert;HGS31022199;8713631022199;98.96;https://www.hygiene-shop.com/abfalleimer-muelleimer/eko-pushcan-abfallbehaelter-40-liter-edelstahl-hochglanz-poliert
68;HGS31012701;https://www.hygiene-shop.com/abfalleimer-muelleimer/eko-pushcan-abfallbehaelter-40-liter-matt-schwarz;HGS31012701;8713631012701;99.27;https://www.hygiene-shop.com/abfalleimer-muelleimer/eko-pushcan-abfallbehaelter-40-liter-matt-schwarz
69;HGS31022182;https://www.hygiene-shop.com/abfalleimer-muelleimer/eko-pushcan-abfallbehaelter-40-liter-edelstahl-matt-gebuerstet;HGS31022182;8713631022182;98.96;https://www.hygiene-shop.com/abfalleimer-muelleimer/eko-pushcan-abfallbehaelter-40-liter-edelstahl-matt-gebuerstet
71;HGS31022977;https://www.hygiene-shop.com/abfalleimer-muelleimer/eko-pushcan-abfallbehaelter-40-liter-blau;HGS31022977;8713631022977;99.27;https://www.hygiene-shop.com/abfalleimer-muelleimer/eko-pushcan-abfallbehaelter-40-liter-blau
72;HGS31022984;https://www.hygiene-shop.com/abfalleimer-muelleimer/eko-pushcan-abfallbehaelter-40-liter-grau;HGS31022984;8713631022984;99.27;https://www.hygiene-shop.com/abfalleimer-muelleimer/eko-pushcan-abfallbehaelter-40-liter-grau
73;HGS31039210;https://www.hygiene-shop.com/abfalleimer-muelleimer/eko-pushcan-abfallbehaelter-40-liter-creme;HGS31039210;8713631039210;99.27;https://www.hygiene-shop.com/abfalleimer-muelleimer/eko-pushcan-abfallbehaelter-40-liter-creme
75;HGS727815;https://www.hygiene-shop.com/abfalleimer-muelleimer/wagner-ewar-pp-126-abfallbehaelter-23-liter-edelstahl-matt-gebuerstet;HGS727815;4250674816964;197.08;https://www.hygiene-shop.com/abfalleimer-muelleimer/wagner-ewar-pp-126-abfallbehaelter-23-liter-edelstahl-matt-gebuerstet
76;HGS31000777;https://www.hygiene-shop.com/abfalleimer-muelleimer/v-part-runder-papierkorb-metall-30-liter-rot;HGS31000777;8713631000777;66.07;https://www.hygiene-shop.com/abfalleimer-muelleimer/v-part-runder-papierkorb-metall-30-liter-rot
79;HGS31000807;https://www.hygiene-shop.com/abfalleimer-muelleimer/v-part-runder-papierkorb-metall-30-liter-schwarz;HGS31000807;8713631000807;66.07;https://www.hygiene-shop.com/abfalleimer-muelleimer/v-part-runder-papierkorb-metall-30-liter-schwarz
80;HGS31007394;https://www.hygiene-shop.com/abfalleimer-muelleimer/v-part-runder-papierkorb-metall-30-liter-aluminium;HGS31007394;8713631007394;66.07;https://www.hygiene-shop.com/abfalleimer-muelleimer/v-part-runder-papierkorb-metall-30-liter-aluminium
81;HGS31026913;https://www.hygiene-shop.com/abfalleimer-muelleimer/v-part-runder-papierkorb-metall-30-liter-blau;HGS31026913;8713631026913;66.07;https://www.hygiene-shop.com/abfalleimer-muelleimer/v-part-runder-papierkorb-metall-30-liter-blau
82;HGS31026944;https://www.hygiene-shop.com/abfalleimer-muelleimer/v-part-runder-papierkorb-metall-30-liter-silber;HGS31026944;8713631026944;68.85;https://www.hygiene-shop.com/abfalleimer-muelleimer/v-part-runder-papierkorb-metall-30-liter-silber
83;HGS13072;https://www.hygiene-shop.com/abfalleimer-muelleimer/dutch-bins-edelstahl-abfallbehaelter-20-liter-ac-bb-20-e-weiss;HGS13072;8717775683797;198.54;https://www.hygiene-shop.com/abfalleimer-muelleimer/dutch-bins-edelstahl-abfallbehaelter-20-liter-ac-bb-20-e-weiss
84;HGS13075;https://www.hygiene-shop.com/abfalleimer-muelleimer/dutch-bins-edelstahl-abfallbehaelter-20-liter-ac-bb-20-e-edelstahl-matt-gebuerstet;HGS13075;8717775683766;263.09;https://www.hygiene-shop.com/abfalleimer-muelleimer/dutch-bins-edelstahl-abfallbehaelter-20-liter-ac-bb-20-e-edelstahl-matt-gebuerstet
85;HGS31058136;https://www.hygiene-shop.com/abfalleimer-muelleimer/v-part-industrieller-tritt-muelleimer-90-liter-weiss;HGS31058136;8713631058136;286.20;https://www.hygiene-shop.com/abfalleimer-muelleimer/v-part-industrieller-tritt-muelleimer-90-liter-weiss
86;HGS31058129;https://www.hygiene-shop.com/abfalleimer-muelleimer/v-part-industrieller-tritt-muelleimer-90-liter-edelstahl-matt-gebuerstet;HGS31058129;8713631058129;442.12;https://www.hygiene-shop.com/abfalleimer-muelleimer/v-part-industrieller-tritt-muelleimer-90-liter-edelstahl-matt-gebuerstet
87;HGS31031511;https://www.hygiene-shop.com/abfalleimer-muelleimer/v-part-feuerloeschender-papierkorb-edelstahl-50-liter-offen-edelstahl-schwarz;HGS31031511;8713631031511;104.70;https://www.hygiene-shop.com/abfalleimer-muelleimer/v-part-feuerloeschender-papierkorb-edelstahl-50-liter-offen-edelstahl-schwarz
88;HGS31001279;https://www.hygiene-shop.com/abfalleimer-muelleimer/v-part-feuerloeschender-papierkorb-15-liter-offen-rot;HGS31001279;8713631001279;50.28;https://www.hygiene-shop.com/abfalleimer-muelleimer/v-part-feuerloeschender-papierkorb-15-liter-offen-rot
89;HGS31001088;https://www.hygiene-shop.com/abfalleimer-muelleimer/v-part-feuerloeschender-papierkorb-15-liter-offen-aluminium-schwarz;HGS31001088;8713631001088;50.28;https://www.hygiene-shop.com/abfalleimer-muelleimer/v-part-feuerloeschender-papierkorb-15-liter-offen-aluminium-schwarz
90;HGS31001194;https://www.hygiene-shop.com/abfalleimer-muelleimer/v-part-feuerloeschender-papierkorb-15-liter-offen-silber;HGS31001194;8713631001194;50.28;https://www.hygiene-shop.com/abfalleimer-muelleimer/v-part-feuerloeschender-papierkorb-15-liter-offen-silber
91;HGS31001200;https://www.hygiene-shop.com/abfalleimer-muelleimer/v-part-feuerloeschender-papierkorb-15-liter-offen-grau;HGS31001200;8713631001200;50.28;https://www.hygiene-shop.com/abfalleimer-muelleimer/v-part-feuerloeschender-papierkorb-15-liter-offen-grau
92;HGS31001255;https://www.hygiene-shop.com/abfalleimer-muelleimer/v-part-feuerloeschender-papierkorb-15-liter-offen-blau-schwarz;HGS31001255;8713631001255;50.28;https://www.hygiene-shop.com/abfalleimer-muelleimer/v-part-feuerloeschender-papierkorb-15-liter-offen-blau-schwarz
